Lp,Day,day,month,hour,minp,secp,mink,seck
1,1,5,3,12,0,0,-1,-1
2,2,6,3,8,11,18,11,18
3,3,7,3,8,7,5,0,0
4,4,8,3,9,0,0,0,0
5,5,9,3,8,7,15,0,0
6,1,12,3,12,3,15,-1,-1
7,2,13,3,8,7,10,7,30
8,3,14,3,8,5,5,25,40
9,4,15,3,9,40,0,-1,-1
10,5,16,3,8,-1,-1,7,2
11,1,19,3,12,0,0,-1,-1
12,2,20,3,8,4,50,32,45
13,3,21,3,8,12,5,20,15
14,4,22,3,9,11,0,6,40
15,5,23,3,9,1,20,9,20
16,1,26,3,12,11,30,-1,-1
17,2,27,3,8,2,15,4,40
18,3,28,3,10,2,17,-1,-1
19,4,29,3,9,1,0,-1,-1
20,3,4,4,8,19,30,-45,-1
21,4,5,4,9,30,0,12,0
22,5,6,4,8,-1,-1,3,0
23,1,9,4,12,-1,-1,-1,-1
24,2,10,4,8,2,5,50,50
25,3,11,4,8,65,0,7,58
26,4,12,4,9,64,50,-1,-1
27,5,13,4,8,-2,-20,-1,-1
28,1,16,4,12,1,10,-1,-1
29,2,17,4,8,7,40,5,30
30,3,18,4,8,-1,-1,-1,-1
31,4,19,4,9,25,30,4,15
32,5,20,4,8,6,10,-1,-1
33,1,23,4,12,0,0,0,0
34,2,24,4,8,7,40,7,40
35,3,25,4,8,70,0,9,20
36,4,26,4,9,12,10,12,10
37,5,27,4,8,-1,-1,9,5
38,1,7,5,12,0,0,0,0
39,2,8,5,8,3,10,0,0
40,3,9,5,9,0,0,1,30
41,4,10,5,9,13,7,5,30
42,5,11,5,8,18,0,0,0
43,1,14,5,12,20,0,0,0
43,2,15,5,8,5,20,0,0
44,3,16,5,8,14,20,0,0
45,4,17,5,9,60,0,-1,-1
46,5,18,5,8,-9,-30,0,0
47,1,21,5,12,12,20,0,0
48,2,22,5,8,2,10,0,0
49,3,23,5,8,0,0,0,0
50,4,24,5,14,10,0,0,0
51,5,25,5,9,-1,-1,0,0
52,1,28,5,12,0,0,0,0
53,2,29,5,8,45,0,0,0
54,3,30,5,10,-1,-1,0,0
55,2,5,6,10,4,0,-1,-1
56,3,6,6,9,5,0,0,0
57,4,7,6,9,8,0,0,0
58,5,8,6,8,18,0,-1,-1
59,3,13,6,9,0,0,0,0
60,4,14,6,9,8,0,17,0
